"Algoritmo", "entrada", "tempo"
"BubbleSort+",1000,0.0686187744140625
"BubbleSort",1000,0.06738853454589844
"QuickSortPF",1000,0.002023935317993164
"QuickSort",1000,0.0018432140350341797
"HeapSort",1000,0.004271984100341797
"InsertionSort",1000,0.03557157516479492
"ShellSort",1000,0.005311250686645508
"SelectionSort",1000,0.030931711196899414
"ShellSort",1000,0.002195119857788086
"BubbleSort+",5000,1.8191180229187012
"BubbleSort",5000,1.7433068752288818
"QuickSortPF",5000,0.025527477264404297
"QuickSort",5000,0.015712499618530273
"HeapSort",5000,0.029086589813232422
"InsertionSort",5000,0.8620147705078125
"ShellSort",5000,0.030983686447143555
"SelectionSort",5000,0.7216529846191406
"ShellSort",5000,0.014832258224487305
"BubbleSort+",10000,7.227483034133911
"BubbleSort",10000,7.035162925720215
"QuickSortPF",10000,0.0879058837890625
"QuickSort",10000,0.061598777770996094
"HeapSort",10000,0.11286640167236328
"InsertionSort",10000,3.5571365356445312
"ShellSort",10000,0.06252694129943848
"SelectionSort",10000,2.917086362838745
"ShellSort",10000,0.034313201904296875
"BubbleSort+",15000,16.601141452789307
"BubbleSort",15000,16.063910484313965
"QuickSortPF",15000,0.19217586517333984
"QuickSort",15000,0.09559845924377441
"HeapSort",15000,0.0948030948638916
"InsertionSort",15000,7.906726837158203
"ShellSort",15000,0.09890246391296387
"SelectionSort",15000,6.569057941436768
"ShellSort",15000,0.05128884315490723
"BubbleSort+",20000,29.645047187805176
"BubbleSort",20000,28.792296409606934
"QuickSortPF",20000,0.32267045974731445
"QuickSort",20000,0.15479183197021484
"HeapSort",20000,0.13112711906433105
"InsertionSort",20000,14.342033624649048
"ShellSort",20000,0.1336371898651123
"SelectionSort",20000,11.557977676391602
"ShellSort",20000,0.07358741760253906
"BubbleSort+",25000,46.10859942436218
"BubbleSort",25000,44.87798357009888
"QuickSortPF",25000,0.4901280403137207
"QuickSort",25000,0.27167797088623047
"HeapSort",25000,0.21614313125610352
"InsertionSort",25000,23.65156054496765
"ShellSort",25000,0.16591501235961914
"SelectionSort",25000,20.04762053489685
"ShellSort",25000,0.09786033630371094
"BubbleSort+",30000,75.18311953544617
"BubbleSort",30000,68.33043909072876
"QuickSortPF",30000,0.7282130718231201
"QuickSort",30000,0.336928129196167
"HeapSort",30000,0.2232980728149414
"InsertionSort",30000,34.05918264389038
"ShellSort",30000,0.2160634994506836
"SelectionSort",30000,27.473055839538574
"ShellSort",30000,0.11004924774169922
"BubbleSort+",1000,8.20159912109375e-05
"BubbleSort",1000,0.03964495658874512
"QuickSortPF",1000,0.07379913330078125
"QuickSort",1000,0.0012557506561279297
"HeapSort",1000,0.0046460628509521484
"InsertionSort",1000,0.00020384788513183594
"ShellSort",1000,0.005082130432128906
"SelectionSort",1000,0.03362679481506348
"ShellSort",1000,0.0011372566223144531
"BubbleSort+",5000,0.00038933753967285156
"BubbleSort",5000,1.0254554748535156
"QuickSortPF",5000,1.8840420246124268
"QuickSort",5000,0.008321762084960938
"HeapSort",5000,0.03317427635192871
"InsertionSort",5000,0.0013554096221923828
"ShellSort",5000,0.027157068252563477
"SelectionSort",5000,0.7673463821411133
"ShellSort",5000,0.0077588558197021484
"BubbleSort+",10000,0.0008027553558349609
"BubbleSort",10000,4.194035530090332
"QuickSortPF",10000,7.651022434234619
"QuickSort",10000,0.018993377685546875
"HeapSort",10000,0.06913280487060547
"InsertionSort",10000,0.0019538402557373047
"ShellSort",10000,0.05952572822570801
"SelectionSort",10000,3.051050901412964
"ShellSort",10000,0.01968073844909668
"BubbleSort+",15000,0.0011756420135498047
"BubbleSort",15000,9.419172763824463
"QuickSortPF",15000,20.53278422355652
"QuickSort",15000,0.03026270866394043
"HeapSort",15000,0.16790437698364258
"InsertionSort",15000,0.006426572799682617
"ShellSort",15000,0.12557339668273926
"SelectionSort",15000,7.075870990753174
"ShellSort",15000,0.02986884117126465
"BubbleSort+",20000,0.0018529891967773438
"BubbleSort",20000,17.04498052597046
"QuickSortPF",20000,30.95385503768921
"QuickSort",20000,0.04159235954284668
"HeapSort",20000,0.1547832489013672
"InsertionSort",20000,0.003856182098388672
"ShellSort",20000,0.1295793056488037
"SelectionSort",20000,12.3502357006073
"ShellSort",20000,0.04655599594116211
"BubbleSort+",25000,0.002033233642578125
"BubbleSort",25000,26.386192560195923
"QuickSortPF",25000,48.06263971328735
"QuickSort",25000,0.051946163177490234
"HeapSort",25000,0.18892931938171387
"InsertionSort",25000,0.004745960235595703
"ShellSort",25000,0.15307903289794922
"SelectionSort",25000,19.192697048187256
"ShellSort",25000,0.05164051055908203
"BubbleSort+",30000,0.002792835235595703
"BubbleSort",30000,39.564327239990234
"QuickSortPF",30000,71.07613635063171
"QuickSort",30000,0.06435394287109375
"HeapSort",30000,0.23755788803100586
"InsertionSort",30000,0.0070569515228271484
"ShellSort",30000,0.21197962760925293
"SelectionSort",30000,29.37488627433777
"ShellSort",30000,0.06471848487854004
"BubbleSort+",1000,0.1023409366607666
"BubbleSort",1000,0.10396456718444824
"QuickSortPF",1000,0.052091121673583984
"QuickSort",1000,0.0014960765838623047
"HeapSort",1000,0.004644155502319336
"InsertionSort",1000,0.07206177711486816
"ShellSort",1000,0.004614114761352539
"SelectionSort",1000,0.0341646671295166
"ShellSort",1000,0.0017766952514648438
"BubbleSort+",5000,2.762075424194336
"BubbleSort",5000,2.7256062030792236
"QuickSortPF",5000,1.3133680820465088
"QuickSort",5000,0.011116743087768555
"HeapSort",5000,0.029712677001953125
"InsertionSort",5000,1.902172327041626
"ShellSort",5000,0.033476829528808594
"SelectionSort",5000,0.8231728076934814
"ShellSort",5000,0.015115737915039062
"BubbleSort+",10000,11.616936683654785
"BubbleSort",10000,11.771199226379395
"QuickSortPF",10000,5.732214689254761
"QuickSort",10000,0.020612716674804688
"HeapSort",10000,0.06388282775878906
"InsertionSort",10000,7.736860752105713
"ShellSort",10000,0.06320476531982422
"SelectionSort",10000,3.2874436378479004
